i     area
750   412.06406
750   446.43041
750   419.10185
1500  417.9819
1500  420.44568
1500  420.55421
2000  422.62245
2000  416.46663
2000  429.52027
2300  474.55003
2300  469.75196
2300  427.11946
2600  462.30472
2600  452.90479
2600  434.95519
2900  458.87864
2900  475.13444
2900  432.12747
3000  446.49341
3000  482.00421
3000  495.0439
3050  456.56192
3050  458.15418
3050  490.04282
3100  450.82594
3100  512.29699
3100  523.76531
3150  514.33032
3150  458.90664
3150  462.70371
3200  459.53658
3200  504.87423
3200  492.31066
3300  522.69092
3300  469.38457
3300  505.32926
